prompt,workflow_response_length,reference_response_length,hallucination_score,rouge1,rougeL,bleu_score,f1,length_score,processing_time,is_answer_complete,final_mode,switched_modes
"I'm interested in vertical farming in Java, Indonesia. What challenges might I face growing eggplants in limited space?",318,741,0.4039735099337748,0.33866415804327377,0.14299153339604892,0.023955974580956992,0.304576144036009,0.4291497975708502,39.60526132583618,True,tooling,False
"I'm a soil scientist working with precision agriculture farmers in Paraná, Brazil. How can we use swales and bulb propagation to improve soil microbial activity for better hemp and peaches yields and ...",311,709,0.2925170068027211,0.28776978417266186,0.12744090441932168,0.03109418634527363,0.3472622478386167,0.4386459802538787,40.59604620933533,True,tooling,False
"Our small urban plot carbon farming farm in Columbia Basin, USA has a CEC of 10 meq/100g. How might this influence our nutrient management for flax and sunflower seeds?",724,360,0.26865671641791045,0.4591928251121076,0.17399103139013455,0.07254765904544498,0.4070796460176991,0.4972375690607735,536.0451409816742,True,rag,True
"As a conservation agriculture farmer in Mato Grosso, Brazil, I'm concerned about pollinator decline. How can I implement hedgerow management and use participatory plant breeding to create pollinator-f...",346,609,0.2613065326633166,0.3013100436681223,0.12008733624454147,0.01317472793144963,0.40819423368740515,0.5681444991789819,48.38706016540527,True,tooling,False
"As a ecological farmer in Alentejo, Portugal, I'm seeing nutrient deficiencies in my amaranth. What soil testing and trap cropping would you recommend to address this and reduce food miles?",146,701,0.38383838383838387,0.1976470588235294,0.09411764705882354,0.0010816755922634584,0.1813186813186813,0.20827389443651925,34.739585399627686,True,tooling,False
"I'm researching water management for free-range farms in Cerrado, Brazil. How can we improve irrigation efficiency?",141,299,0.3563218390804598,0.32863849765258213,0.15492957746478872,0.03850276343870056,0.29097605893186,0.47157190635451507,41.894885540008545,True,tooling,False
"Our community garden plot keyline design farm in Tohoku, Japan is exploring direct-to-consumer marketing. How can we use Waru-waru raised field agriculture and integrated pest management to add value ...",578,623,0.23076923076923073,0.3339041095890411,0.1284246575342466,0.07646515856426533,0.41028507546115145,0.92776886035313,147.83204984664917,True,tooling,False
"As a rooftop farmer in Overijssel, Netherlands, I'm concerned about pollinator decline. How can I implement bokashi composting and use vertical farming systems to create pollinator-friendly habitats w...",592,707,0.28338762214983715,0.43373493975903615,0.16546184738955821,0.0806244189423577,0.514808831448573,0.8373408769448374,66.68367552757263,True,tooling,False
"Our biological cooperative is looking to implement new technology and fertilizer strategies. What should we implement, considering our goal of improve climate adaptation?",140,252,0.15000000000000002,0.19047619047619052,0.09022556390977444,0.0066198313547926385,0.21946169772256724,0.5555555555555556,30.32892918586731,True,tooling,False
"As a bio-intensive farmer in Midi-Pyrénées, France, I'm concerned about pollinator decline. How can I implement raised bed gardening and use Fukuoka natural farming to create pollinator-friendly habit...",383,697,0.2751322751322751,0.3068391866913124,0.12384473197781884,0.0428166481795213,0.381570408825438,0.5494978479196556,37.639392614364624,True,tooling,False
